Product,Current Factory,Recommended Factory,Current LT (days),Predicted LT (days),LT Improvement (days),Improvement %,Profit Margin %,Total Sales ($),Current Dist (mi),New Dist (mi)
Wonka Bar - Milk Chocolate,Wicked Choccy's,Lot's O' Nuts,1317.0,1319.0,-2.0,-0.15,64.92,25671.75,1117.0,1259.5
Wonka Bar - Milk Chocolate,Wicked Choccy's,Sugar Shack,1317.0,1318.6,-1.5,-0.12,64.92,25671.75,1117.0,1157.0
Wonka Bar - Milk Chocolate,Wicked Choccy's,Secret Factory,1317.0,1313.4,3.6,0.27,64.92,25671.75,1117.0,913.2
Wonka Bar - Milk Chocolate,Wicked Choccy's,The Other Factory,1317.0,1318.0,-1.0,-0.07,64.92,25671.75,1117.0,919.7
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Lot's O' Nuts,1325.4,1324.2,1.2,0.09,65.33,27067.5,1165.3,1229.9
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Sugar Shack,1325.4,1323.2,2.2,0.17,65.33,27067.5,1165.3,1173.9
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Secret Factory,1325.4,1318.3,7.1,0.54,65.33,27067.5,1165.3,946.4
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,The Other Factory,1325.4,1323.7,1.7,0.13,65.33,27067.5,1165.3,949.3
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Wicked Choccy's,1328.6,1325.7,2.9,0.22,71.35,22667.55,1234.2,1142.1
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Sugar Shack,1328.6,1329.1,-0.6,-0.04,71.35,22667.55,1234.2,1145.6
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Secret Factory,1328.6,1325.8,2.7,0.21,71.35,22667.55,1234.2,907.8
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,The Other Factory,1328.6,1327.5,1.0,0.08,71.35,22667.55,1234.2,920.5
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Wicked Choccy's,1321.3,1322.5,-1.1,-0.08,69.44,26312.4,1250.5,1142.3
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Sugar Shack,1321.3,1323.3,-1.9,-0.14,69.44,26312.4,1250.5,1168.6
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Secret Factory,1321.3,1318.5,2.9,0.22,69.44,26312.4,1250.5,934.8
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,The Other Factory,1321.3,1324.0,-2.7,-0.2,69.44,26312.4,1250.5,942.1
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Wicked Choccy's,1315.2,1312.2,3.0,0.23,66.67,23587.2,1259.9,1117.2
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Sugar Shack,1315.2,1315.7,-0.5,-0.04,66.67,23587.2,1259.9,1163.5
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Secret Factory,1315.2,1310.8,4.4,0.33,66.67,23587.2,1259.9,919.9
Wonka Bar - Fudge Mallows,Lot's O' Nuts,The Other Factory,1315.2,1314.8,0.4,0.03,66.67,23587.2,1259.9,921.9
Wonka Gum,Secret Factory,Lot's O' Nuts,1306.5,1317.8,-11.3,-0.87,52.0,597.5,840.5,1310.5
Wonka Gum,Secret Factory,Wicked Choccy's,1306.5,1314.6,-8.1,-0.62,52.0,597.5,840.5,983.6
Wonka Gum,Secret Factory,Sugar Shack,1306.5,1314.1,-7.6,-0.58,52.0,597.5,840.5,1136.0
Wonka Gum,Secret Factory,The Other Factory,1306.5,1315.3,-8.7,-0.67,52.0,597.5,840.5,814.6
Kazookles,The Other Factory,Lot's O' Nuts,1273.0,1286.6,-13.6,-1.07,7.69,1205.75,937.6,1323.3
Kazookles,The Other Factory,Wicked Choccy's,1273.0,1280.9,-7.9,-0.62,7.69,1205.75,937.6,1056.8
Kazookles,The Other Factory,Sugar Shack,1273.0,1286.8,-13.8,-1.09,7.69,1205.75,937.6,1253.2
Kazookles,The Other Factory,Secret Factory,1273.0,1284.5,-11.5,-0.9,7.69,1205.75,937.6,996.2
Fizzy Lifting Drinks,Sugar Shack,Lot's O' Nuts,1273.5,1248.8,24.7,1.94,60.0,78.75,1048.4,1360.3
Fizzy Lifting Drinks,Sugar Shack,Wicked Choccy's,1273.5,1287.7,-14.2,-1.11,60.0,78.75,1048.4,891.5
Fizzy Lifting Drinks,Sugar Shack,Secret Factory,1273.5,1275.1,-1.6,-0.13,60.0,78.75,1048.4,719.7
Fizzy Lifting Drinks,Sugar Shack,The Other Factory,1273.5,1286.3,-12.8,-1.0,60.0,78.75,1048.4,738.1
Laffy Taffy,Sugar Shack,Lot's O' Nuts,1383.1,1360.4,22.7,1.64,62.31,53.73,1218.9,1595.7
Laffy Taffy,Sugar Shack,Wicked Choccy's,1383.1,1345.9,37.2,2.69,62.31,53.73,1218.9,618.2
Laffy Taffy,Sugar Shack,Secret Factory,1383.1,1349.1,34.0,2.45,62.31,53.73,1218.9,815.5
Laffy Taffy,Sugar Shack,The Other Factory,1383.1,1355.0,28.1,2.03,62.31,53.73,1218.9,701.3
SweeTARTS,Sugar Shack,Lot's O' Nuts,1383.5,1334.4,49.1,3.55,46.67,61.5,978.9,1505.9
SweeTARTS,Sugar Shack,Wicked Choccy's,1383.5,1329.5,54.0,3.9,46.67,61.5,978.9,751.0
SweeTARTS,Sugar Shack,Secret Factory,1383.5,1310.6,72.9,5.27,46.67,61.5,978.9,615.9
SweeTARTS,Sugar Shack,The Other Factory,1383.5,1335.0,48.5,3.51,46.67,61.5,978.9,704.0
Nerds,Sugar Shack,Lot's O' Nuts,1274.0,1278.5,-4.5,-0.36,46.67,15.0,1273.4,1929.0
Nerds,Sugar Shack,Wicked Choccy's,1274.0,1275.6,-1.6,-0.12,46.67,15.0,1273.4,295.6
Nerds,Sugar Shack,Secret Factory,1274.0,1279.8,-5.8,-0.45,46.67,15.0,1273.4,793.0
Nerds,Sugar Shack,The Other Factory,1274.0,1285.2,-11.2,-0.88,46.67,15.0,1273.4,675.1
Lickable Wallpaper,Secret Factory,Lot's O' Nuts,1455.8,1450.5,5.2,0.36,50.0,80.0,626.3,1743.9
Lickable Wallpaper,Secret Factory,Wicked Choccy's,1455.8,1439.2,16.6,1.14,50.0,80.0,626.3,452.9
Lickable Wallpaper,Secret Factory,Sugar Shack,1455.8,1450.2,5.6,0.38,50.0,80.0,626.3,1075.8
Lickable Wallpaper,Secret Factory,The Other Factory,1455.8,1450.0,5.7,0.39,50.0,80.0,626.3,623.9
Hair Toffee,The Other Factory,Lot's O' Nuts,1455.2,1485.0,-29.8,-2.05,77.78,76.5,1148.7,1128.8
Hair Toffee,The Other Factory,Wicked Choccy's,1455.2,1479.8,-24.6,-1.69,77.78,76.5,1148.7,1384.2
Hair Toffee,The Other Factory,Sugar Shack,1455.2,1459.3,-4.0,-0.28,77.78,76.5,1148.7,1385.2
Hair Toffee,The Other Factory,Secret Factory,1455.2,1488.5,-33.2,-2.28,77.78,76.5,1148.7,1240.5
Fun Dip,Sugar Shack,Lot's O' Nuts,1272.7,1398.3,-125.6,-9.87,40.0,12.0,1014.7,1461.6
Fun Dip,Sugar Shack,Wicked Choccy's,1272.7,1455.0,-182.3,-14.32,40.0,12.0,1014.7,598.5
Fun Dip,Sugar Shack,Secret Factory,1272.7,1454.6,-181.9,-14.29,40.0,12.0,1014.7,570.0
Fun Dip,Sugar Shack,The Other Factory,1272.7,1455.6,-183.0,-14.38,40.0,12.0,1014.7,500.2
Everlasting Gobstopper,Secret Factory,Lot's O' Nuts,1641.0,1525.3,115.7,7.05,80.0,30.0,126.1,1188.6
Everlasting Gobstopper,Secret Factory,Wicked Choccy's,1641.0,1531.6,109.4,6.67,80.0,30.0,126.1,924.8
Everlasting Gobstopper,Secret Factory,Sugar Shack,1641.0,1545.7,95.3,5.81,80.0,30.0,126.1,483.1
Everlasting Gobstopper,Secret Factory,The Other Factory,1641.0,1544.3,96.7,5.89,80.0,30.0,126.1,470.5
